184456	7514229.21	4692174.31
184455	7514227.996	4692178.497
184454	7514221.045	4692206.626
184453	7514217.64	4692220.555
184450	7514212.928	4692238.845
184449	7514207.032	4692263.855
184448	7514200.814	4692294.29
184447	7514197.461	4692309.099
184446	7514191.001	4692332.922
157032	7514183.035	4692359.595
156960	7514211.595	4692365.624
156959	7514219.624	4692335.855
156958	7514224.293	4692314.945
156957	7514228.022	4692296.796
156956	7514230.152	4692285.586
156955	7514235.881	4692265.887
156954	7514239.351	4692251.348
156953	7514244.94	4692229.788
156952	7514251.609	4692199.499
184458	7514255.969	4692183.076
